channelId,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId,videojuego
UCmb0LnmFYceH7toqgmUTJDA,_ZF2rd1T5Bk,"CÓMO Q 9.3??? YO LE PONDRÍA INFINITO/10 ESTO ES UNA OBRA MAESTra <a href=""https://www.youtube.com/watch?v=_ZF2rd1T5Bk&amp;t=10m49s"">10:49</a>",CÓMO Q 9.3??? YO LE PONDRÍA INFINITO/10 ESTO ES UNA OBRA MAESTra 10:49,@Spiderman09090,https://yt3.ggpht.com/kJczasUsEYRszelgJSBC9bDBXTOhiGwAo-WbcA2Ua_BzK9Acn8bG03fO-VgJ2-jqOLTaB53b=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCDQL_OGyUtzWeXzvTG-o-wQ,{'value': 'UCDQL_OGyUtzWeXzvTG-o-wQ'},True,none,1,2024-01-07T15:34:22Z,2024-01-07T15:34:22Z,,Marvel's Spider-Man 2
UCmb0LnmFYceH7toqgmUTJDA,_ZF2rd1T5Bk,miles Morales 2,miles Morales 2,@faitergamer1604,https://yt3.ggpht.com/ytc/AIf8zZTKFXWS_SQcZ3i6amdV_H4IVzhTZXScPB0la-o2gA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCFuAgCxwa1XwWc86_y2S-4Q,{'value': 'UCFuAgCxwa1XwWc86_y2S-4Q'},True,none,1,2024-01-02T16:10:05Z,2024-01-02T16:10:05Z,,Marvel's Spider-Man 2
UCmb0LnmFYceH7toqgmUTJDA,_ZF2rd1T5Bk,"Un juego con mejores mecánicas,ciudad,habilidades etc.. pero siento que a pesar de tener a misterio,venom,lizard etc.. no llega a la altura del primero,me encantó harry osborn lo adoró este si se me hizo amigo de verdad de peter y no como en las pelis o series, la historia hasta la muerte de kraven perfecta, pero la parte de venom se veia muy forzada y sin apenas desarrollo aparte de corta","Un juego con mejores mecánicas,ciudad,habilidades etc.. pero siento que a pesar de tener a misterio,venom,lizard etc.. no llega a la altura del primero,me encantó harry osborn lo adoró este si se me hizo amigo de verdad de peter y no como en las pelis o series, la historia hasta la muerte de kraven perfecta, pero la parte de venom se veia muy forzada y sin apenas desarrollo aparte de corta",@raulmartinez6537,https://yt3.ggpht.com/ytc/AIf8zZRVzkwrN-7iEact2zTYimHO7o_XCe3Pu6YdNQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCgfDQuxOHb-i-ugehKksATw,{'value': 'UCgfDQuxOHb-i-ugehKksATw'},True,none,0,2023-12-24T14:50:08Z,2023-12-24T14:50:08Z,,Marvel's Spider-Man 2
UCmb0LnmFYceH7toqgmUTJDA,_ZF2rd1T5Bk,No está el audio en español?? Si en el uno si ke estaba,No está el audio en español?? Si en el uno si ke estaba,@josebaderribatorretas5741,https://yt3.ggpht.com/ytc/AIf8zZTRVYcH43AodIqK69o14KlqsGfgodQj-4_BQw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCObyktNcNxXj7knZscYxmmw,{'value': 'UCObyktNcNxXj7knZscYxmmw'},True,none,0,2023-12-22T14:23:03Z,2023-12-22T14:23:03Z,,Marvel's Spider-Man 2
UCmb0LnmFYceH7toqgmUTJDA,_ZF2rd1T5Bk,Un juego buenísimo par los incondicionales del trepamuros.,Un juego buenísimo par los incondicionales del trepamuros.,@lolodonosti,https://yt3.ggpht.com/IQylhEAEqQtmOC0zVLm5waYT1E1Mg4rzWlVvdyE14_xUDmeCi7WkIHw0p9OyR_ktVQGgD89BFWM=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCxhO4j89Dcp-EbFs5EydbmQ,{'value': 'UCxhO4j89Dcp-EbFs5EydbmQ'},True,none,0,2023-12-12T07:28:17Z,2023-12-12T07:28:17Z,,Marvel's Spider-Man 2
UCmb0LnmFYceH7toqgmUTJDA,_ZF2rd1T5Bk,"Ya lo temeiné y es un juegazo, completamente","Ya lo temeiné y es un juegazo, completamente",@tristanoard35,https://yt3.ggpht.com/ytc/AIf8zZRvDYkfBuI-vUuz2wNDsIdMQpWpil_aogGFeNTH=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCBndv8T-Ur1k9MquOUnhrRA,{'value': 'UCBndv8T-Ur1k9MquOUnhrRA'},True,none,0,2023-11-30T07:39:46Z,2023-11-30T07:39:46Z,,Marvel's Spider-Man 2
UCmb0LnmFYceH7toqgmUTJDA,_ZF2rd1T5Bk,Spiderman 2 👍🏼,Spiderman 2 👍🏼,@danielfigueroa5307,https://yt3.ggpht.com/CLOIwQ2uFHbPBFQoCroUZiXc0Wis3aGok5UzTbkW-bUUVgi_s8xBq9KUZNHrOExddJWmmBByFw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC938OfExM7nsutdWP1XgaDg,{'value': 'UC938OfExM7nsutdWP1XgaDg'},True,none,0,2023-11-21T18:12:27Z,2023-11-21T18:12:27Z,,Marvel's Spider-Man 2
UCmb0LnmFYceH7toqgmUTJDA,_ZF2rd1T5Bk,Faltan los 30 detalles,Faltan los 30 detalles,@dylanrosmon8812,https://yt3.ggpht.com/ytc/AIf8zZRuxTLXCGnP0WA-WGg-urnkl8li8zL85Z3DS3YO=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCa70tBHz0KtE3PkEs44Stcg,{'value': 'UCa70tBHz0KtE3PkEs44Stcg'},True,none,0,2023-11-21T01:37:19Z,2023-11-21T01:37:19Z,,Marvel's Spider-Man 2
UCmb0LnmFYceH7toqgmUTJDA,_ZF2rd1T5Bk,"Es lo mismo de siempre ,pero con nueva historia una mecánica nueva y con lenguaje inclusivo y con black cat Bi 😂😂😂😂 🤮🤮🤮","Es lo mismo de siempre ,pero con nueva historia una mecánica nueva y con lenguaje inclusivo y con black cat Bi 😂😂😂😂 🤮🤮🤮",@eduradomatiasmedelaguilera5297,https://yt3.ggpht.com/ytc/AIf8zZR7KPTdB4flt6Aitiann8lF7RBGKSMnatBNYWccyw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCulkXf1Uer95_q5JA4LNJcg,{'value': 'UCulkXf1Uer95_q5JA4LNJcg'},True,none,0,2023-11-14T19:19:39Z,2023-11-14T19:19:39Z,,Marvel's Spider-Man 2
UCmb0LnmFYceH7toqgmUTJDA,_ZF2rd1T5Bk,Vaya la noticia es que miles morales será el spiderman del futuro. Un n e g ro como protagonista? Q raro... si al final disney todos serán de color...,Vaya la noticia es que miles morales será el spiderman del futuro. Un n e g ro como protagonista? Q raro... si al final disney todos serán de color...,@caballitorojo271,https://yt3.ggpht.com/ytc/AIf8zZQPkMpVgDyMSTFYIjzFsR8of_OaioYbWuo-g0jP4rU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCsZoCpfmXhUDJeUBquu2tHQ,{'value': 'UCsZoCpfmXhUDJeUBquu2tHQ'},True,none,0,2023-11-06T13:17:15Z,2023-11-06T13:17:15Z,,Marvel's Spider-Man 2
